timestamp,label,accelX,accelY,accelZ,gyroX,gyroY
244903.0,FWD,-7.3143,2.3248,10.7811,-0.002297,-0.553952
244913.0,FWD,-7.2113,-0.5411,10.24,0.001098,-0.55529
244923.0,FWD,-6.5386,3.7421,14.0707,-7.7e-05,-0.539147
244933.0,FWD,-6.7564,1.7861,15.7802,-4e-06,-0.508486
244943.0,FWD,-6.8354,1.0032,11.236,0.00064,-0.459976
244953.0,FWD,-6.3446,-2.8156,13.86,-0.000869,-0.412161
244963.0,FWD,-6.2153,-1.9728,11.7962,-0.009964,-0.353019
244973.0,FWD,-3.0765,1.8866,8.8921,-0.005036,-0.296432
244983.0,FWD,-1.8818,-0.7685,13.1035,-0.00541,-0.243595
244993.0,FWD,-6.3159,-4.1851,13.4099,-0.01056,-0.188748
245003.0,FWD,-4.6783,-0.6728,11.631,-0.00807,-0.148069
245013.0,FWD,-4.3646,0.8404,12.3134,-0.003734,-0.124211
245023.0,FWD,-4.4652,0.0599,10.3597,-0.000265,-0.109869
245032.0,FWD,-4.7501,0.0646,14.2551,0.001497,-0.107561
245043.0,FWD,-4.4676,1.3048,11.394,-0.000344,-0.114135
245053.0,FWD,-4.1946,3.4548,12.3804,-0.00107,-0.110281
245063.0,FWD,-2.3607,2.0997,16.1489,-0.005329,-0.10464
245073.0,FWD,-0.7063,0.7518,16.5775,-0.007403,-0.121977
245083.0,FWD,-2.6145,0.261,17.4011,-0.010555,-0.159722
245093.0,FWD,-2.5714,0.3543,15.8999,-0.004176,-0.23431
245103.0,FWD,-3.0694,0.4621,14.88,0.000767,-0.34301
245113.0,FWD,-1.6592,0.7566,15.7754,0.000351,-0.438656
245123.0,FWD,-1.1205,1.9345,12.651,0.004282,-0.492684
245133.0,FWD,-0.158,5.4348,11.7579,-0.00158,-0.517627
245143.0,FWD,-1.1085,3.1867,11.7005,-0.009893,-0.514825
245153.0,FWD,-0.0622,0.4214,16.2542,-0.013453,-0.498995
245163.0,FWD,-0.0575,1.5562,12.5456,-0.016993,-0.452329
245173.0,FWD,2.162,-0.2825,12.1602,-0.012578,-0.341027
245183.0,FWD,-0.0575,-2.8108,15.8472,-0.009312,-0.165119
245193.0,FWD,-2.5833,-0.6632,15.5192,-0.003076,0.069829
245203.0,FWD,-3.1723,0.9577,15.8783,-0.002989,0.259973
245213.0,FWD,-3.7828,0.565,13.3573,-0.00745,0.371159
245223.0,FWD,-5.0661,1.6257,13.1897,-0.008461,0.436179
245233.0,FWD,-8.9926,0.5411,10.3382,-0.005912,0.592542
245243.0,FWD,-10.1155,1.968,10.5656,0.002149,0.870263
245253.0,FWD,-11.5065,1.3408,18.8687,0.002416,1.193641
245263.0,FWD,-14.0731,0.6105,10.7955,0.000285,1.371659
245273.0,FWD,-14.1425,-0.2993,13.4195,7.2e-05,1.379031
245283.0,FWD,-12.4905,-0.5938,13.0915,0.001394,1.229687
245293.0,FWD,-12.0237,-1.4748,10.0197,0.001226,1.010714
245303.0,FWD,-11.2743,-0.0599,8.3438,-0.00152,0.746911
245313.0,FWD,-11.6981,-0.4262,12.821,-0.004622,0.453478
245323.0,FWD,-10.0509,-3.5195,12.6294,-0.010942,0.155794
245332.0,FWD,-9.481,1.3264,12.4929,-0.013865,-0.089549
245343.0,FWD,-7.2329,3.5147,12.0404,-0.010609,-0.24969
245353.0,FWD,-5.1475,2.5833,15.7778,-0.004166,-0.340126
245363.0,FWD,-5.1499,2.988,14.5352,-0.004341,-0.407038
245373.0,FWD,-7.3478,0.6536,14.212,-0.009491,-0.443355
245383.0,FWD,-4.7405,3.3639,7.7452,-0.012545,-0.465373
245393.0,FWD,-7.0198,3.6224,10.0987,-0.011151,-0.469452
